location,title,subtitle,year_km_fuel,price,detail_url
Dusseldorp Schiedam,BMW iX1,xDrive30 67 kWh,2025 | 9999 km | Elektrisch,€ 53.950,https://www.dusseldorpbmw.nl/aanbod/bmw-ix1-company-car-xdrive30-67-kwh-36559967
Dusseldorp Den Haag,BMW iX,xDrive50 High Executive 112 kWh,2025 | 6999 km | Elektrisch,€ 89.900,https://www.dusseldorpbmw.nl/aanbod/bmw-ix-company-car-xdrive50-high-executive-112-kwh-36024781
Dusseldorp Schiedam,BMW i5,M60 xDrive,2025 | 10 km | Elektrisch,€ 96.950,https://www.dusseldorpbmw.nl/aanbod/bmw-i5-occasion-m60-xdrive-34693218
Dusseldorp Zwolle,BMW i7,eDrive50 M-Sport 106 kWh,2025 | 12500 km | Elektrisch,€ 99.850,https://www.dusseldorpbmw.nl/aanbod/bmw-i7-company-car-edrive50-m-sport-106-kwh-35959911
Dusseldorp Zwolle,BMW i4,M50 High Executive M-Sport,2025 | 11500 km | Elektrisch,€ 68.950,https://www.dusseldorpbmw.nl/aanbod/bmw-i4-company-car-m50-high-executive-m-sport-35995241
Dusseldorp Rotterdam Zuid,BMW iX,xDrive40 High Executive Sportpakket,2025 | 7500 km | Elektrisch,€ 79.950,https://www.dusseldorpbmw.nl/aanbod/bmw-ix-company-car-xdrive40-high-executive-sportpakket-36316238
Dusseldorp Rotterdam Zuid,BMW i4,eDrive40 High Executive,2025 | 21500 km | Elektrisch,€ 52.950,https://www.dusseldorpbmw.nl/aanbod/bmw-i4-company-car-edrive40-high-executive-36574545
Dusseldorp Zwolle,BMW 4 Serie,430i Gran Coupé M-Sport,2025 | 11500 km | Benzine,€ 86.500,https://www.dusseldorpbmw.nl/aanbod/bmw-4-serie-company-car-430i-gran-coupe-m-sport-37116065
Dusseldorp Rotterdam Noord,BMW 3 Serie,Touring 320e M Sport Pro,2025 | 7500 km | Hybrid,€ 56.450,https://www.dusseldorpbmw.nl/aanbod/bmw-3-serie-company-car-touring-320e-m-sport-pro-37274742
Dusseldorp Rotterdam Zuid,BMW i5,eDrive40 Sedan M Sport Pro,2025 | 7500 km | Elektrisch,€ 69.950,https://www.dusseldorpbmw.nl/aanbod/bmw-i5-company-car-edrive40-sedan-m-sport-pro-37515707
Dusseldorp Den Haag,BMW i5,eDrive40 M Sport Edition Touring 84 kWh,2025 | 12999 km | Elektrisch,€ 79.900,https://www.dusseldorpbmw.nl/aanbod/bmw-i5-company-car-edrive40-m-sport-edition-touring-84-kwh-37618214
Dusseldorp Deventer,BMW i5,eDrive40 M Sport Edition 84 kWh,2025 | 10000 km | Elektrisch,€ 68.950,https://www.dusseldorpbmw.nl/aanbod/bmw-i5-company-car-edrive40-m-sport-edition-84-kwh-38240189
Dusseldorp Oostzaan,BMW 4 Serie,Gran Coupé M440i xDrive High Executive,2025 | 10 km | Benzine,€ 120.030,https://www.dusseldorpbmw.nl/aanbod/bmw-4-serie-nieuw-gran-coupe-m440i-xdrive-high-executive-38261929
Dusseldorp Apeldoorn,BMW iX1,xDrive30 67 kWh,2025 | 14667 km | Elektrisch,€ 56.950,https://www.dusseldorpbmw.nl/aanbod/bmw-ix1-company-car-xdrive30-67-kwh-38856768
Dusseldorp Hoorn,BMW 1 Serie,M135i xDrive,2025 | 10 km | Benzine,€ 95.437,https://www.dusseldorpbmw.nl/aanbod/bmw-1-serie-nieuw-m135i-xdrive-38901315
Dusseldorp Alkmaar,BMW i5,Touring eDrive40 M Sport Edition 84 kWh,2025 | 6981 km | Elektrisch,€ 71.950,https://www.dusseldorpbmw.nl/aanbod/bmw-i5-company-car-touring-edrive40-m-sport-edition-84-kwh-38993207
