Title,Subtitle,Year,Mileage,Fuel Type,Price,Monthly Price,Details Link,Location
BMW i3,S iPerformance 94Ah | Comfort Pack Advanced | Navi Prof. | Camera | Stoelverwarming | DAB+ | 20'' LMV,2018,102.606 km,Elektrisch,"16.900,-","199,-",https://www.ekris.nl/bmw/p/45854928/bmw-i3-s-iperformance-94ah-45854928,Ekris Nijkerk
BMW i3,S 94Ah 20'' / Comfort pack advanced / Achteruitrijcamera / Warmtepomp / Driving Assistant Plus,2018,116.199 km,Elektrisch,"17.450,-","206,-",https://www.ekris.nl/bmw/p/45406875/bmw-i3-s-45406875,Ekris Veenendaal
BMW 1 Serie,3-deurs 116i | Executive | M Sportpakket | Navigatie | LED | Climate Control | Park Distance Control | Hi-Fi | Sportstoelen | Stoelverwarming | 18'' LMV,2018,104.808 km,Benzine,"17.900,-","244,-",https://www.ekris.nl/bmw/p/46244388/bmw-1-serie-3-deurs-116i-46244388,Ekris Nijkerk
BMW i3,Sportpakket | Comfort pack advanced | Alarmsysteem klasse 3 | 20 inch LM Dubbelspaak | Extra getint glas achter,2019,105.747 km,Elektrisch,"17.900,-","211,-",https://www.ekris.nl/bmw/p/46939859/bmw-i3-46939859,Ekris Zeist
BMW 1 Serie,Cabrio 118i M Sport Edition | Windscherm | Sportstoelen | Stoelverwarming | Navigatie Professional | 18'',2014,81.014 km,Benzine,"17.950,-","244,-",https://www.ekris.nl/bmw/p/47137449/bmw-1-serie-cabrio-118i-47137449,Ekris Utrecht
BMW i3,120Ah Comfort pack advanced | 19 inch lichtmetalen i light wielen sterspaak (styling 427) | Snellaadpakket | Regen- en lichtsensor,2019,25.253 km,Elektrisch,"18.400,-","217,-",https://www.ekris.nl/bmw/p/43762809/bmw-i3-120ah-43762809,Ekris Zeist
BMW i3,120Ah | Executive Edition | Comfort pack advanced,2019,93.298 km,Elektrisch,"18.900,-","223,-",https://www.ekris.nl/bmw/p/46954911/bmw-i3-120ah-46954911,Ekris Heerlen
BMW i3,120Ah | Dark Shadow Edition | Sportpakket | 20 inch | Stoelverwarming | Navigatiesysteem Professional | Achteruitrijcamera,2020,69.085 km,Elektrisch,"19.695,-","232,-",https://www.ekris.nl/bmw/p/42453658/bmw-i3-120ah-42453658,Ekris Arnhem
BMW 2 Serie,Gran Tourer 216i 7p. | LED | HUD | Trekhaak | Derde zitrij | Sportstoelen | DAB | Hifi speakers | Alu 17 inch,2022,123.000 km,Benzine,"19.900,-","271,-",https://www.ekris.nl/bmw/p/46517274/bmw-2-serie-gran-tourer-216i-7p-46517274,Ekris Heerenveen
BMW 2 Serie,Gran Tourer 216i 7p. | LED | Leder | HUD | Trekhaak | Derde zitrij | Stoelverwarming | DAB | Hifi speakers | Alu 17 inch,2022,120.000 km,Benzine,"19.900,-","271,-",https://www.ekris.nl/bmw/p/46517480/bmw-2-serie-gran-tourer-216i-7p-46517480,Ekris Heerenveen
BMW i3,Dark Shadow Edition 120Ah 42 kWh Sportpakket/ Achteruitrijcamera/ Stoelverwarming/ Cruise Control/ 20 inch LM,2021,91.279 km,Elektrisch,"19.900,-","235,-",https://www.ekris.nl/bmw/p/46987947/bmw-i3-dark-shadow-edition-120ah-42-kwh-46987947,Ekris Flevoland
BMW i3,"Executive Edition 120Ah | Sportpakket | Warmtepomp | Achteruitrijcamera | Navigatiesysteem Professional | 20""",2020,74.848 km,Elektrisch,"20.695,-","244,-",https://www.ekris.nl/bmw/p/44627387/bmw-i3-44627387,Ekris Utrecht
BMW 2 Serie,Gran Tourer 216i 7p. | LED | HUD | Derde zitrij | Stoelverwarming | Clima | DAB | Alu 16 inch,2020,88.000 km,Benzine,"20.900,-","285,-",https://www.ekris.nl/bmw/p/44433670/bmw-2-serie-gran-tourer-216i-7p-44433670,Ekris Heerenveen
BMW 2 Serie,Gran Tourer 216i 7p. Executive Edition null,2020,64.323 km,Benzine,"20.900,-","285,-",https://www.ekris.nl/bmw/p/46275721/bmw-2-serie-gran-tourer-216i-7p-executive-edition-46275721,Ekris Groningen
BMW 2 Serie,Gran Tourer 216i High Executive Luxury Line 17'' / Trekhaak / Derde zitrij / Head-Up Display,2022,90.014 km,Benzine,"20.900,-","285,-",https://www.ekris.nl/bmw/p/46976699/bmw-2-serie-gran-tourer-216i-46976699,Ekris Veenendaal
BMW X1,sDrive20i Centennial High Executive | Leder | Trekhaak | Head-Up | Comfortacces | Glazendak |,2017,136.189 km,Benzine,"20.945,-","285,-",https://www.ekris.nl/bmw/p/47084610/bmw-x1-sdrive20i-centennial-high-executive-47084610,Ekris Groningen
BMW 1 Serie,5-deurs 118i | Executive Edition | Live Cockpit Professional,2020,79.041 km,Benzine,"21.750,-","296,-",https://www.ekris.nl/bmw/p/45140776/bmw-1-serie-5-deurs-118i-45140776,Ekris Maastricht
BMW 2 Serie,Active Tourer 218i | High Executive | Luxury Line | Parking Pack | Trekhaak | Sportstoelen | Head-Up | Getint Glas | Hi-Fi | Verwarmbare Voorstoelen | 17'' LMV,2019,96.344 km,Benzine,"21.900,-","298,-",https://www.ekris.nl/bmw/p/45463493/bmw-2-serie-active-tourer-218i-45463493,Ekris Nijkerk
BMW 1-serie,"118i | Executive | M Sportpakket | Trekhaak | Led | Apple Carplay | 17"" LMV",2020,97.576 km,Benzine,"21.900,-","298,-",https://www.ekris.nl/bmw/p/44937113/bmw-1-serie-118i-44937113,Ekris Nijkerk
