Vehicle Name,Vehicle Subtitle,Vehicle Price,Vehicle Tags,Business Finance,Location
BMW XM,,€ 127.900 v.a. € 1313 p/m,2024 30.572 km Automaat Hybride,v.a. € 1313 p/m,Van Poelgeest Noordwijk
BMW 1 Serie,123 xDrive,€ 61.024 v.a. € 626 p/m,2025 1 km Automaat Benzine,v.a. € 626 p/m,Van Poelgeest Heemstede
BMW X1,xDrive25e,€ 67.900 v.a. € 649 p/m,2025 1 km Automaat Hybride,v.a. € 649 p/m,Van Poelgeest Woerden
BMW X1,xDrive23d,€ 64.900 v.a. € 666 p/m,2024 22.167 km Automaat Diesel,v.a. € 666 p/m,Van Poelgeest Naarden - PS Center
BMW 3 Serie Sedan,318i,€ 69.392 v.a. € 712 p/m,2025 4.999 km Automaat Benzine,v.a. € 712 p/m,Van Poelgeest Amsterdam
BMW i3,120Ah 42 kWh,€ 25.900 v.a. € 229 p/m,2022 43.527 km Automaat Elektrisch,v.a. € 229 p/m,Van Poelgeest Amersfoort
BMW 3 Serie Touring,330e,€ 75.693 v.a. € 777 p/m,2025 6.500 km Automaat Hybride,v.a. € 777 p/m,Van Poelgeest Amstelveen
MINI Countryman,SE ALL4,€ 36.900 v.a. € 379 p/m,2022 53.987 km Automaat Hybride,v.a. € 379 p/m,Van Poelgeest Amsterdam
BMW i4,eDrive35 M Sport Edition,€ 71.537 v.a. € 632 p/m,2025 1 km Automaat Elektrisch,v.a. € 632 p/m,Van Poelgeest Heemstede
BMW 2 Serie Gran Coupé,218i Executive Edition,€ 23.900 v.a. € 297 p/m,2021 92.669 km Automaat Benzine,v.a. € 297 p/m,Van Poelgeest Naarden - PS Center
MINI Cooper 3-deurs,C,€ 49.133 v.a. € 504 p/m,2025 6.500 km Automaat Benzine,v.a. € 504 p/m,Van Poelgeest Amsterdam
BMW 5 Serie Sedan,530e M Sport Edition,€ 89.618 v.a. € 856 p/m,2025 1 km Automaat Hybride,v.a. € 856 p/m,Van Poelgeest Heemstede
BMW iX2,eDrive20,€ 62.704 v.a. € 554 p/m,2025 1.150 km Automaat Elektrisch,v.a. € 554 p/m,Van Poelgeest Amstelveen
BMW X7,xDrive40i M Sportpakket Pro,€ 124.995 v.a. € 1283 p/m,2024 26.591 km Automaat Benzine,v.a. € 1283 p/m,Van Poelgeest Gouda
BMW i5 Sedan,eDrive40 84 kWh,€ 59.900 v.a. € 640 p/m,2023 33.176 km Automaat Elektrisch,v.a. € 640 p/m,Van Poelgeest Amsterdam
BMW iX1,eDrive20 xLine,€ 54.336 v.a. € 480 p/m,2025 12.500 km Automaat Elektrisch,v.a. € 480 p/m,Van Poelgeest Alphen aan den Rijn
